"API.MATS3c"	"API.BCUTc-1l"	"API.MAXDN"	"API.ZMIC3"	"API.JGI3"	"EXP1.GATS4p"	"EXP1.ETA_EtaP_L"	"EXP1.MDEC.22"	"EXP2.ATS6m"	"PreparationMethod"	"Excipient1_mg_per_1g"	"Ball_diameter_mm"	"Medium_ionic_strength"	"Time_min"	"Q"
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.080372179	0.33898	8.161598641	0	3	500	10	0.074182838	5.02618	46.4994
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.080372179	0.33898	8.161598641	0	3	500	10	0.074182838	10.0524	55.8827
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.080372179	0.33898	8.161598641	0	3	500	10	0.074182838	15.0157	61.5046
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.080372179	0.33898	8.161598641	0	3	500	10	0.074182838	29.9686	66.9594
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.080372179	0.33898	8.161598641	0	3	500	10	0.074182838	45.0471	66.771
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.080372179	0.33898	8.161598641	0	3	500	10	0.074182838	60.0628	65.9559
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.404719868	0.34173	1.650963624	0	3	667	10	0.074182838	4.96335	2.61248
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.404719868	0.34173	1.650963624	0	3	667	10	0.074182838	9.98953	1.46295
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.404719868	0.34173	1.650963624	0	3	667	10	0.074182838	15.0157	5.95605
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.404719868	0.34173	1.650963624	0	3	667	10	0.074182838	30.0314	7.39799
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.404719868	0.34173	1.650963624	0	3	667	10	0.074182838	45.0471	7.83679
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.404719868	0.34173	1.650963624	0	3	667	10	0.074182838	60	8.02508
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	0	0	0	0	3	0	0	0.496705381	4.89094	3.55042
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	0	0	0	0	3	0	0	0.496705381	10.0334	6.72592
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	0	0	0	0	3	0	0	0.496705381	15.0524	8.21621
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	0	0	0	0	3	0	0	0.496705381	29.9836	13.0618
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	0	0	0	0	3	0	0	0.496705381	59.9757	19.3821
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	0	0	0	0	3	0	0	0.496705381	89.9701	23.8296
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	0	0	0	0	3	0	0	0.496705381	119.966	27.1536
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.080372179	0.33898	8.161598641	0	3	500	10	0.496705381	4.9356	67.9698
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.080372179	0.33898	8.161598641	0	3	500	10	0.496705381	9.81691	79.1982
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.080372179	0.33898	8.161598641	0	3	500	10	0.496705381	14.8331	82.9357
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.080372179	0.33898	8.161598641	0	3	500	10	0.496705381	30.016	87.2191
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.080372179	0.33898	8.161598641	0	3	500	10	0.496705381	60.0152	87.9213
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.080372179	0.33898	8.161598641	0	3	500	10	0.496705381	89.8876	89.5601
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.080372179	0.33898	8.161598641	0	3	500	10	0.496705381	120.011	91.573
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.404719868	0.34173	1.650963624	0	3	667	10	0.496705381	4.87179	19.5325
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.404719868	0.34173	1.650963624	0	3	667	10	0.496705381	9.87179	53.6241
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.404719868	0.34173	1.650963624	0	3	667	10	0.496705381	15	49.9761
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.404719868	0.34173	1.650963624	0	3	667	10	0.496705381	30	57.6149
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.404719868	0.34173	1.650963624	0	3	667	10	0.496705381	60	64.0805
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.404719868	0.34173	1.650963624	0	3	667	10	0.496705381	89.8718	66.5232
-0.077327308	-0.362304831	5.955210972	28.65263265	0.079437669	1.404719868	0.34173	1.650963624	0	3	667	10	0.496705381	119.872	65.3259
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	0	0	0	0	3	0	0	0	4.97962	3.08871
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	0	0	0	0	3	0	0	0	10.0375	4.92553
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	0	0	0	0	3	0	0	0	15.0185	6.95485
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	0	0	0	0	3	0	0	0	29.9692	6.97542
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	0	0	0	0	3	0	0	0	45.072	7.95928
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	0	0	0	0	3	0	0	0	60.0993	7.97996
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	0	0	0	0	3	0	10	0	4.97876	3.76287
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	0	0	0	0	3	0	10	0	10.0314	9.74093
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	0	0	0	0	3	0	10	0	15.0863	13.8891
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	0	0	0	0	3	0	10	0	30.0318	17.9546
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	0	0	0	0	3	0	10	0	45.0515	23.9464
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	0	0	0	0	3	0	10	0	59.9945	30.0344
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.080372179	0.33898	8.161598641	0	3	500	10	0	5.0526	5.97806
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.080372179	0.33898	8.161598641	0	3	500	10	0	10.1053	11.8598
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.080372179	0.33898	8.161598641	0	3	500	10	0	15.0019	19.9564
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.080372179	0.33898	8.161598641	0	3	500	10	0	30.0894	32.8825
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.080372179	0.33898	8.161598641	0	3	500	10	0	45.1053	41.8598
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.080372179	0.33898	8.161598641	0	3	500	10	0	60.0496	46.8884
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.175641978	0.307535	4.58079932	0	3	500	10	0	5.05346	7.95585
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.175641978	0.307535	4.58079932	0	3	500	10	0	10.1078	14.9005
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.175641978	0.307535	4.58079932	0	3	500	10	0	15.0819	26.0343
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.175641978	0.307535	4.58079932	0	3	500	10	0	30.1689	46.0013
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.175641978	0.307535	4.58079932	0	3	500	10	0	45.0336	57.0111
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.175641978	0.307535	4.58079932	0	3	500	10	0	60.1196	78.1337
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.175641978	0.307535	4.58079932	0	3	667	10	0	5.05605	4.92215
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.175641978	0.307535	4.58079932	0	3	667	10	0	10.0344	10.9998
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.175641978	0.307535	4.58079932	0	3	667	10	0	15.0095	20.978
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.175641978	0.307535	4.58079932	0	3	667	10	0	30.0265	33.1438
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.175641978	0.307535	4.58079932	0	3	667	10	0	45.0343	56.1443
0.012507526	-0.3852718	1.983893171	26.76810045	0.046424897	1.175641978	0.307535	4.58079932	0	3	667	10	0	60.0531	66.2877
0.084721091	-0.389650599	3.214602514	34.00515108	0.067908654	1.080372179	0.33898	8.161598641	2612.753182	3	333	10	0.089108077	2.96204	70.2436
0.084721091	-0.389650599	3.214602514	34.00515108	0.067908654	1.080372179	0.33898	8.161598641	2612.753182	3	333	10	0.089108077	4.92222	88.8357
0.084721091	-0.389650599	3.214602514	34.00515108	0.067908654	1.080372179	0.33898	8.161598641	2612.753182	3	333	10	0.089108077	9.97511	93.8902
0.084721091	-0.389650599	3.214602514	34.00515108	0.067908654	1.080372179	0.33898	8.161598641	2612.753182	3	333	10	0.089108077	20.0373	97.5944
0.084721091	-0.389650599	3.214602514	34.00515108	0.067908654	1.080372179	0.33898	8.161598641	2612.753182	3	333	10	0.089108077	30.0124	97.9929
0.084721091	-0.389650599	3.214602514	34.00515108	0.067908654	1.080372179	0.33898	8.161598641	2612.753182	3	333	10	0.089108077	59.8942	100.325
0.084721091	-0.389650599	3.214602514	34.00515108	0.067908654	0	0	0	0	3	0	0	0.089108077	3.0056	1.95837
0.084721091	-0.389650599	3.214602514	34.00515108	0.067908654	0	0	0	0	3	0	0	0.089108077	4.92222	6.29439
0.084721091	-0.389650599	3.214602514	34.00515108	0.067908654	0	0	0	0	3	0	0	0.089108077	9.97511	13.5183
0.084721091	-0.389650599	3.214602514	34.00515108	0.067908654	0	0	0	0	3	0	0	0.089108077	20.0373	26.4167
0.084721091	-0.389650599	3.214602514	34.00515108	0.067908654	0	0	0	0	3	0	0	0.089108077	30.0996	32.2903
0.084721091	-0.389650599	3.214602514	34.00515108	0.067908654	0	0	0	0	3	0	0	0.089108077	59.8942	35.7587
0.004631777	-0.386945302	2.417291833	35.08615778	0.040123457	0	0	0	0	3	0	10	0	5.06367	0.0916528
0.004631777	-0.386945302	2.417291833	35.08615778	0.040123457	0	0	0	0	3	0	10	0	10.1273	0.183306
0.004631777	-0.386945302	2.417291833	35.08615778	0.040123457	0	0	0	0	3	0	10	0	15.0688	2.06968
0.004631777	-0.386945302	2.417291833	35.08615778	0.040123457	0	0	0	0	3	0	10	0	30.068	10.0367
0.004631777	-0.386945302	2.417291833	35.08615778	0.040123457	0	0	0	0	3	0	10	0	45.0143	14.0721
0.004631777	-0.386945302	2.417291833	35.08615778	0.040123457	0	0	0	0	3	0	10	0	60.0817	16.9964
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0	0	0	0	3	0	0	0	4.87103	7.06751
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0	0	0	0	3	0	0	0	9.9608	13.0941
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0	0	0	0	3	0	0	0	14.94	17.9762
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0	0	0	0	3	0	0	0	29.9105	27.7317
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0	0	0	0	3	0	0	0	44.9887	34.5734
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0	0	0	0	3	0	0	0	60.0287	39.2299
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0.913039324	0.31682	0.2	0	3	833	3	0	5.01261	50.5636
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0.913039324	0.31682	0.2	0	3	833	3	0	10.0671	58.3592
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0.913039324	0.31682	0.2	0	3	833	3	0	15.0461	63.0332
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0.913039324	0.31682	0.2	0	3	833	3	0	30.1247	70.3952
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0.913039324	0.31682	0.2	0	3	833	3	0	45.0917	75.364
-0.022599781	-0.331363535	2.623276749	25.38289487	0.050925926	0.913039324	0.31682	0.2	0	3	833	3	0	60.0564	77.1071
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	0	0	0	0	3	0	0	0.085246	5	0.46
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	0	0	0	0	3	0	0	0.085246	10	0.15
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	0	0	0	0	3	0	0	0.085246	15	0.28
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	0	0	0	0	3	0	0	0.085246	30	1.15
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	0	0	0	0	3	0	0	0.085246	45	1.83
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	0	0	0	0	3	0	0	0.085246	60	2.22
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	0	0	0	0	3	0	0	0.085246	75	2.57
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	1.269514676	0.331143	7.098757169	0	3	900	15	0.085246	5	51.62
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	1.269514676	0.331143	7.098757169	0	3	900	15	0.085246	10	48.908
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	1.269514676	0.331143	7.098757169	0	3	900	15	0.085246	15	48.83
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	1.269514676	0.331143	7.098757169	0	3	900	15	0.085246	30	49.372
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	1.269514676	0.331143	7.098757169	0	3	900	15	0.085246	45	48.866
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	1.269514676	0.331143	7.098757169	0	3	900	15	0.085246	60	48.858
-0.000342	-0.368112275	2.15884427	39.08188607	0.045696159	1.269514676	0.331143	7.098757169	0	3	900	15	0.085246	75	48.996
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	5	62.85
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	10	80.628
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	15	88.287
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	30	96.084
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	45	98.144
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	60	99.376
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	90	100
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	900	15	0.496705381	120	100
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	100	15	0.496705381	5	20.005
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	100	15	0.496705381	10	22.692
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	100	15	0.496705381	15	23.907
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	100	15	0.496705381	30	28.621
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	100	15	0.496705381	45	32.18
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	100	15	0.496705381	60	34.644
0.169366838	-0.342831573	1.844093443	25.92951172	0.049479167	1.269514676	0.331143	7.098757169	0	3	100	15	0.496705381	90	38.302
